ID,Name,Position,Organisation,Linkedin-Link,Webseite,Category,Description
1,Alexander Möller,Geschäftsführer,VDV,https://www.linkedin.com/in/alexander-m%C3%B6ller-486538187/,https://www.vdv.de/,"Governance & Verwaltungen, Politik, öffentliche Unternehmen","Alexander Möller hat als Geschäftsführer des Verbands Deutscher Verkehrsunternehmen ein umfassendes Zukunftsgutachten für den ÖPNV vorgelegt. Es liefert einen klaren Fahrplan für Erhalt und Ausbau des Nahverkehrs bis 2040.

Mut & Pioniergeist: Die klare Benennung der Finanzierungslücken ist ein mutiger Schritt gegenüber Politik und Öffentlichkeit.
Innovationsgrad: Das Gutachten zeigt detailliert, wie moderne ÖPNV-Konzepte finanziert und umgesetzt werden können.
Umsetzungskraft & Wirkung: Möller hat es geschafft, die Branche hinter einer gemeinsamen Strategie zu vereinen.
Relevanz für die Mobilitätswende: Ein leistungsfähiger ÖPNV ist zentral für den Umstieg vom Auto auf klimafreundliche Verkehrsmittel.
Vorbildfunktion & Sichtbarkeit: Möller tritt als klarer, faktenorientierter Fürsprecher für den Nahverkehr auf.
"
2,André Schwämmlein,CEO,FlixBus,https://www.linkedin.com/in/andr%C3%A9-schw%C3%A4mmlein/,https://global.flixbus.com/,Etablierte Unternehmen,"Überblick: André Schwämmlein hat FlixBus (Flix SE) mit gegründet und führt das Unternehmen als CEO. Er verfolgt eine Vision, Fernverkehre nachhaltig, digital und kundenfreundlich weltweit zu gestalten.

Mut & Pioniergeist: Als einer der ersten sah er die Chance in der Deregulierung – und schuf im Wettbewerb einen komplett neuen Mobilitätsanbieter.

Innovationsgrad: Er etablierte ein asset-light System und setzte als erster Anbieter Elektrobusse im Linienverkehr ein – kombiniert mit einer digitalen Plattform.

Umsetzungskraft & Wirkung: Unter seiner Führung wurde Flix zum globalen Mobilitätsunternehmen: Milliardenumsatz, weltweite Expansion, Millionen Fahrgäste.

Relevanz für die Mobilitätswende: Schwämmlein zeigt, wie Sharing-Mobilität in Verbindung mit Technologie die CO₂-Bilanz langfristig verbessert.

Vorbildfunktion & Sichtbarkeit: Er steht für eine neue Generation von Mobilitätsgründern – innovationsstark, sichtbar und wirkungsmächtig."
3,Anjes Tjarks ,Senator Verkehr ,Hansestadt Hamburg,https://www.linkedin.com/in/anjes-tjarks-19356835/,,"Governance & Verwaltungen, Politik, öffentliche Unternehmen","Überblick
Dr. Anjes Tjarks ist seit 2020 Senator für Verkehr und Mobilitätswende in Hamburg. Er verfolgt das Ziel, den Anteil des Umweltverbunds bis 2030 auf 80 % zu steigern, und gilt als einer der Architekten der Hamburger Verkehrswende.

Mut & Pioniergeist
Tjarks traf früh mutige Entscheidungen wie temporäre Autobahnsperrungen zum Lärmschutz oder die Einführung zusätzlicher Tempo-30-Zonen. Er entwickelte einen politisch tragfähigen Plan für eine autoarme Innenstadt und setzte auf Regulierung statt Verbote bei E-Tretrollern.

Innovationsgrad
Unter seiner Leitung plant Hamburg 500 autonome On-Demand-Busse bis 2030, die vollständige Elektrifizierung des Busnetzes und den „Hamburg-Takt“, der innerhalb von 5 Minuten überall Mobilität verspricht. Er setzte auf integrierte Mobilität und beschleunigte den Ausbau der Radinfrastruktur.

Umsetzungskraft & Wirkung
Der HVV verzeichnete Rekordzahlen bei Fahrgästen, der Autoverkehr ging zurück, und Projekte wie neue U-Bahn-Linien und Radwege wurden beschleunigt umgesetzt. Parkgebühren wurden erhöht, und Anwohnerparken wurde ausgeweitet.

Relevanz für die Mobilitätswende
Hamburg dient als Pilotstadt für innovative Konzepte, deren Erkenntnisse deutschlandweit einfließen. Tjarks trägt dazu bei, CO₂-Emissionen im Verkehrssektor zu senken und den ÖPNV als Rückgrat der Verkehrswende zu stärken.

Vorbildfunktion & Sichtbarkeit
Er gilt als pragmatischer Macher, der ideologische Gräben überbrückt. Tjarks ist ein gefragter Sprecher auf Konferenzen und hat sich in kurzer Zeit als Gesicht der Verkehrswende etabliert."
4,Anna-Theresa Korbutt ,Geschäftsführerin,Hamburger Verkehrsverbund (HVV),https://www.linkedin.com/in/anna-theresa-korbutt-84421061/?originalSubdomain=at,https://www.hvv.de/de,"Governance & Verwaltungen, Politik, öffentliche Unternehmen","Mut & Pioniergeist: Korbutt hat sich in einer männlich dominierten Branche an die Spitze des HVV gearbeitet. Sie scheut den Sprung ins Unbekannte, sucht neue Perspektiven und wagt unkonventionelle Ansätze – etwa den Bruch mit traditionellen Marketingmustern, um dem HVV ein modernes Image zu geben.

Innovationsgrad: Sie positioniert den ÖPNV als kundenorientiertes Produkt und treibt digitale Lösungen wie hvv switch oder Check-in/Be-out-Systeme voran. Damit wird Hamburg Vorreiter in der Integration verschiedener Verkehrsmittel.

Umsetzungskraft & Wirkung: Korbutt setzte das Deutschlandticket reibungslos um, vereinfachte Tarife und etablierte neue Angebote wie On-Demand-Shuttles. Die Fahrgastzahlen steigen wieder, und sie wurde 2023 mit dem Bundesfahrgastpreis ausgezeichnet.

Relevanz für die Mobilitätswende: Ihre Strategien – von Flatrate-Tickets bis zur Sharing-Verzahnung – machen den Umstieg vom Auto leichter. Hamburg dient als Reallabor mit Strahlkraft für den gesamten DACH-Raum.

Vorbildfunktion & Sichtbarkeit: Korbutt ist eine gefragte Stimme für ÖPNV-Zukunftsthemen. Als zweifache Mutter in Top-Position zeigt sie, dass Familie und Führung vereinbar sind, und inspiriert mehr Frauen zu technischen Führungsrollen."
5,Björn Bender,CEO,Rail Europe SAS ,https://www.linkedin.com/in/benderbjoern/,https://www.raileurope.com/,Etablierte Unternehmen,"Mut & Pioniergeist: Bender wechselte von großen Staatsbahnen in ein internationales Travel-Tech-Unternehmen und treibt dessen Transformation voran. Er bringt Unternehmergeist aus seiner Zeit bei der SBB ein und gründete u. a. Mobility Allstars, um branchenübergreifende Kooperationen zu fördern.

Innovationsgrad: Unter seiner Leitung wurde Rail Europe zu einer modernen Buchungsplattform, die über 200 Bahnunternehmen weltweit in einer App vereint. Digitale Schnittstellen ermöglichen Reisebüros den einfachen Ticketvertrieb, ergänzt durch KI-gestützte Services und personalisierte Angebote.

Umsetzungskraft & Wirkung: Seit 2022 verdoppelte sich das Buchungsvolumen auf rund 5 Millionen Tickets jährlich. Rail Europe ist heute Partner von über 15.000 Reiseunternehmen in 70 Ländern und erleichtert internationalen Reisenden den Umstieg auf die Bahn.

Relevanz für die Mobilitätswende: Durch die globale Vereinfachung von Zugbuchungen senkt Bender eine zentrale Hürde für nachhaltiges Reisen. Er stärkt die Bahn als klimafreundliche Alternative zu Auto und Flug und fördert die Vernetzung mit anderen Mobilitätsdiensten.

Vorbildfunktion & Sichtbarkeit: Als Brückenbauer zwischen traditioneller Bahnwelt und digitaler Mobilität inspiriert er Unternehmen und Nachwuchs gleichermaßen. Mit starker Präsenz auf Fachkonferenzen und in Netzwerken wirbt er für eine intermodale, nachhaltige Mobilität."
6,Boris Palmer,Bürgermeister,Stadt Tübingen,https://www.linkedin.com/in/boris-palmer-b575a416b/,https://www.tuebingen.de/,"Governance & Verwaltungen, Politik, öffentliche Unternehmen","Boris Palmer treibt seit Jahren eine konsequente Klimaschutz- und Verkehrspolitik in Tübingen voran. Er setzt auf ambitionierte Maßnahmen wie hohe Parkgebühren für große Fahrzeuge und die Förderung erneuerbarer Energien.

Mut & Pioniergeist: Palmer schreckt nicht vor unpopulären, aber wirksamen Maßnahmen zurück.
Innovationsgrad: Mit lokal angepassten Regelungen zeigt Tübingen, wie Städte eigenständig klimafreundliche Mobilität fördern können.
Umsetzungskraft & Wirkung: Viele seiner Maßnahmen sind umgesetzt und prägen das Stadtbild.
Relevanz für die Mobilitätswende: Tübingen ist ein Vorbild für kommunale Verkehrswende im kleineren Maßstab.
Vorbildfunktion & Sichtbarkeit: Palmer ist bundesweit bekannt und streitbarer Fürsprecher ambitionierter Klimapolitik."
7,Catrin von Cisewski,Smart City Expertin,Telekom,https://www.linkedin.com/in/catrinvoncisewski/,https://www.telekom.com,"Start-ups, Scale-ups & Katalysatoren","Überblick: Catrin von Cisewski berät Städte und Kommunen bei der Umsetzung digitaler Mobilitäts- und Smart-City-Lösungen.
Mut & Pioniergeist: Sie treibt die Integration von IoT-Technologien in die städtische Infrastruktur voran – vom Verkehrsmanagement über Umweltmonitoring bis zu intelligenten Lade- und Parksystemen.
Innovationsgrad: Entwickelt Projekte, die Big Data und KI nutzen, um Verkehrsflüsse zu optimieren und emissionsarme Mobilität zu fördern.
Umsetzungskraft & Wirkung: Ihre Arbeit hat in mehreren Städten zu messbaren Verbesserungen bei Verkehrseffizienz und Emissionsreduktion geführt.
Relevanz für die Mobilitätswende: Sie macht Digitalisierung zu einem Motor für nachhaltige Stadtmobilität.
Vorbildfunktion & Sichtbarkeit: Als Expertin in einem Technologiekonzern ist sie gefragte Sprecherin bei Smart-City- und Mobilitätskonferenzen."
8,Christine von Breitenbuch,Direktorin,"IAA Mobility, Messe München",https://www.linkedin.com/in/christinevonbreitenbuch/,https://www.iaa-mobility.com/en,"Governance & Verwaltungen, Politik, öffentliche Unternehmen","Christine von Breitenbuch hat die IAA Mobility in München erfolgreich als Mobilitätsplattform neu positioniert. Unter ihrer Leitung wurde die Messe um Themen wie Fahrrad, Mikromobilität, Digitalisierung und Nachhaltigkeit erweitert und mit einem Open-Space-Konzept in der Innenstadt für die Öffentlichkeit geöffnet.

Mut & Pioniergeist: Der Bruch mit dem klassischen Automesse-Format hin zu einer ganzheitlichen Mobilitätsplattform erforderte Mut und Überzeugungskraft.
Innovationsgrad: Die IAA Mobility vereint Fachmesse, Publikumsfestival und Konferenz – ein Format, das verschiedene Zielgruppen anspricht.
Umsetzungskraft & Wirkung: Der erfolgreiche Neustart brachte internationale Aussteller, große Besucherzahlen und mediale Aufmerksamkeit.
Relevanz für die Mobilitätswende: Die Plattform bringt unterschiedliche Mobilitätslösungen zusammen und schafft öffentliche Sichtbarkeit für Innovationen.
Vorbildfunktion & Sichtbarkeit: Von Breitenbuch zeigt, wie sich tradierte Formate mutig transformieren lassen."
9,Christoph Seyerlein,Redakteur Mobilität,Manager MAGAZIN,https://www.linkedin.com/in/christophseyerlein/,http://www.manager-magazin.de/,"Start-ups, Scale-ups & Katalysatoren","Überblick: Christoph Seyerlein ist erfahrener Mobilitätsjournalist und prägt seit Jahren die öffentliche Debatte über Verkehrspolitik und -technologie.
Mut & Pioniergeist: Er greift auch unbequeme Themen auf, stellt kritische Fragen an Industrie und Politik und gibt alternativen Mobilitätskonzepten Raum.
Innovationsgrad: Nutzt multimediale Formate (Artikel, Podcasts, Videos) zur Wissensvermittlung rund um Mobilitätstrends.
Umsetzungskraft & Wirkung: Seine Beiträge haben Reichweite in Wirtschaft, Politik und Gesellschaft und tragen zu einem informierten Diskurs bei.
Relevanz für die Mobilitätswende: Er sorgt für Transparenz und kritische Auseinandersetzung, was eine demokratische und faktenbasierte Wende unterstützt.
Vorbildfunktion & Sichtbarkeit: Als unabhängige journalistische Stimme hat er hohen Einfluss auf Meinungsbildung im Mobilitätssektor."
10,Christoph Weigler,Managing Director DACH,UBER,https://www.linkedin.com/in/cweigler/,http://www.uber.com/,Etablierte Unternehmen,"Mut & Pioniergeist: Weigler übernahm Uber Deutschland 2015 in einer Phase regulatorischer Hürden und Skepsis. Statt aufzugeben, passte er das Geschäftsmodell an, kooperierte mit lizenzierten Mietwagen- und später auch Taxiunternehmen und suchte den Dialog mit Städten und Fahrern.

Innovationsgrad: Unter seiner Führung startete „Uber Green“ für emissionsarme Fahrten, „Uber Transit“ mit ÖPNV-Integration und neue Kooperationen mit der Taxi-Branche. Technische Neuerungen wie Notfall-Buttons und verifizierte Haltepunkte wurden speziell für den DACH-Markt eingeführt.

Umsetzungskraft & Wirkung: Heute ist Uber in allen großen Städten der Region etabliert. Weigler verhandelte rechtliche Lösungen, baute Fahrer- und Partnernetzwerke aus und pilotierte neue Dienste wie Uber Freight. „Uber Green“ ermöglichte tausende emissionsfreie Fahrten.

Relevanz für die Mobilitätswende: Ride-Hailing als Alternative zum Privat-PKW, verstärkte Elektrifizierung der Flotte und die Verzahnung mit dem ÖPNV tragen unter seiner Leitung direkt zur Reduktion von Emissionen und Verkehrsdichte in Städten bei.

Vorbildfunktion & Sichtbarkeit: Als öffentlich präsenter Gestalter der urbanen Mobilität wirbt Weigler für Kooperation und nachhaltige Innovation. Sein offener, pragmatischer Ansatz macht ihn zu einem Vorbild für Manager in disruptiven Branchen."
11,Dr. Christian Dahlheim,CEO,Volkswagen Financial Services,https://www.linkedin.com/in/dr-christian-dahlheim-026a48a4/,https://www.vwfs.com/,Etablierte Unternehmen,"Überblick: Dr. Christian Dahlheim ist seit Anfang 2022 Vorstandsvorsitzender von Volkswagen Financial Services AG und leitet eines der zentralen Mobilitätsdienstleistungs-Zentren innerhalb des Konzerns. Seine Mission: Nachhaltigkeit, Digitalisierung und Flexibilität in der Mobilität vereinen.

Mut & Pioniergeist: Er hat früh auf Bike-Leasing gesetzt und damit die strategische Erweiterung hin zur multimodalen Mobilitätsplattform eingeleitet.

Innovationsgrad: Unter ihm wurde das Konzept Life Cycle Offers etabliert – eine ganzheitliche Lösung für Mobilität. Gleichzeitig treibt er den Ausbau der E-Auto-Verträge massiv voran.

Umsetzungskraft & Wirkung: Die Geschäftskennzahlen bestätigen den Erfolg: stark gesteigerte Ergebnisse und ein wachsender Fahrzeugvertragspool zeugen von seiner effektiven Umsetzungskraft.

Relevanz für die Mobilitätswende: Dahlheim lenkt einen etablierten Finanzdienstleister in Richtung nachhaltiger Mobilität und zeigt, wie Mobilitätswende im Konzern gelingen kann.

Vorbildfunktion & Sichtbarkeit: Seine Führung zeigt, dass Transformation auch in großen, traditionsreichen Unternehmen möglich ist – durch klare Vision und strategische Weitsicht."
12,Dr. Corsin Sulser,Gründer,Parcandi,https://www.linkedin.com/in/corsin-sulser/,http://www.parcandi.com,"Start-ups, Scale-ups & Katalysatoren","Überblick: Gründer der Parcandi AG; digitale Plattform, die freie Privat‑/Firmenparkplätze in Echtzeit mit Suchenden matcht. Ergebnis: weniger Parksuchverkehr, weniger Stau/CO₂, mehr Lebensqualität.
Mut & Pioniergeist: Verließ mit >40 den sicheren Konzernjob, machte ein internes Projekt zum eigenen Start‑up und löste ein Alltagsproblem neu.
Innovationsgrad: App‑gestützte, IoT‑fähige Teilung bestehender Parkflächen (Reservierung, Zugang, Abrechnung) statt Neubau von Parkhäusern.
Umsetzungskraft & Wirkung: Schnelles Wachstum in Schweizer Städten, erste Standorte in DE; Partnerschaften mit Mobilitätsclubs/Immobilien; lokal messbar weniger Suchverkehr.
Relevanz & Vorbild: Hebelt einen oft übersehenen Faktor der Verkehrswende (Parken); zeigt, wie Ressourcenteilung Infrastruktur entlastet. Vorbild für Intrapreneur‑zu‑Gründer‑Karrieren."
13,Dr. Jan Hegner,"
Co-Founder & SVP Sales",dromos,https://www.linkedin.com/in/dr-jan-hegner-080864110/,http://www.dromos.network/,"Start-ups, Scale-ups & Katalysatoren","Jan Hegner ist Senior Vice President bei Dromos, einem Unternehmen, das autonome Kapselsysteme für den Personentransport entwickelt. Die Fahrzeuge fahren auf reservierten Spuren, sind rund um die Uhr verfügbar und können bestehende Infrastrukturen wie stillgelegte Bahnstrecken reaktivieren.

Mut & Pioniergeist: Der Ansatz, brachliegende Infrastruktur mit neuer Technologie wiederzubeleben, ist ein innovativer Beitrag zur Verkehrswende.
Innovationsgrad: Die Kombination aus autonomem Betrieb, kleinem Fahrzeugformat und flexibler Streckenführung ist neuartig im ÖPNV.
Umsetzungskraft & Wirkung: Erste Projekte zeigen, dass Dromos eine kostengünstige und effiziente Ergänzung zum klassischen Nahverkehr sein kann.
Relevanz für die Mobilitätswende: Dromos bietet Städten die Möglichkeit, das ÖPNV-Angebot ohne massive Bauprojekte zu erweitern.
Vorbildfunktion & Sichtbarkeit: Hegner bringt jahrzehntelange Branchenerfahrung ein und zeigt, wie etablierte Expertise und Startup-Innovation zusammenwirken."
14,Fabian Beste,Co-Founder & CEO,4Screen,https://www.linkedin.com/in/fabian-beste-13758177/,https://4screen.com/,"Start-ups, Scale-ups & Katalysatoren","Mut & Pioniergeist: Fabian Beste gründete mit Mitte 20 4screen und erschloss den bis dahin unbesetzten Markt für In-Car-Marketing. Er verknüpfte die Automobil- und Werbebranche und gewann als Branchenneuling namhafte OEMs – ein klares Zeichen für seinen Pioniergeist.

Innovationsgrad: 4screen ist die weltweit erste Plattform, die Autofahrer in Echtzeit über das Fahrzeugdisplay mit lokalen Angeboten versorgt. Die Integration in Infotainmentsysteme großer Marken, strenger Datenschutz und personalisierte Inhalte setzen neue Maßstäbe für Connected-Car-Dienste.

Umsetzungskraft & Wirkung: Seit 2017 wuchs 4screen auf fast 100 Mitarbeitende, schloss Millionenfinanzierungen ab und ist in mehreren Ländern aktiv. Die Technologie läuft bereits in Fahrzeugen großer Hersteller und bringt Fahrern, lokalen Händlern und OEMs messbaren Mehrwert.

Relevanz für die Mobilitätswende: Die Plattform stärkt die Akzeptanz vernetzter und elektrischer Fahrzeuge, erleichtert das Finden von Ladepunkten und hilft, unnötige Wege zu vermeiden. Sie eröffnet OEMs neue Erlöse, die in nachhaltige Mobilitätslösungen investiert werden können.

Vorbildfunktion & Sichtbarkeit: Beste steht für eine neue Gründer-Generation im Mobilitätssektor. Er tritt international als Sprecher für die Vision vom „Auto als digitale Plattform“ auf und inspiriert Start-ups wie etablierte Unternehmen zu mutigen, nutzerzentrierten Innovationen."
15,Felix Pörnbacher,Co-Founder & Co-CEO,DeepDrive,https://www.linkedin.com/in/felixpoe/,http://deepdrive.tech/,"Start-ups, Scale-ups & Katalysatoren","Felix Pörnbacher ist Co-Gründer und Co-CEO von DeepDrive, einem Münchner High-Tech-Startup, das einen neuartigen Elektromotor entwickelt hat. Der Motor ist leicht, kostengünstig, effizient und kann sowohl zentral als auch als Radnabenmotor verbaut werden. Er bietet mehr Reichweite bei geringeren Produktionskosten und spart Materialien ein. Pörnbacher hat gemeinsam mit seinem Team Investoren aus der Automobilindustrie überzeugt und bereitet die Serienfertigung vor.

Mut & Pioniergeist: Der Markteintritt mit einer disruptiven Technologie in einem von Großkonzernen dominierten Markt erfordert Mut und visionäres Denken.
Innovationsgrad: Die Motorarchitektur von DeepDrive stellt einen signifikanten Fortschritt in Effizienz, Materialeinsatz und Flexibilität dar.
Umsetzungskraft & Wirkung: Bereits vor Serienstart hat DeepDrive Partnerschaften mit führenden OEMs geschlossen – ein Indikator für die Praxistauglichkeit und Marktrelevanz.
Relevanz für die Mobilitätswende: Effizientere, ressourcenschonendere Antriebe sind ein Schlüsselfaktor für die flächendeckende Elektrifizierung.
Vorbildfunktion & Sichtbarkeit: Pörnbacher zeigt, dass auch junge Unternehmen technologische Standards neu setzen können."
